"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Abstract","TL;DR"
"Reconciling persistent and dynamic hypotheses of working memory coding in prefrontal cortex","https://scispace.com/paper/reconciling-persistent-and-dynamic-hypotheses-of-working-386rqbnc3a","2018","Journal Article","Nature Communications","Sean E Cavanagh
John P. Towers
Joni D. Wallis
Laurence T. Hunt
Laurence T. Hunt
Steven W. Kennerley
Steven W. Kennerley","10.1038/S41467-018-05873-3","https://scispace.com/pdf/reconciling-persistent-and-dynamic-hypotheses-of-working-386rqbnc3a.pdf","Competing accounts propose that working memory (WM) is subserved either by persistent activity in single neurons or by dynamic (time-varying) activity across a neural population. Here, we compare these hypotheses across four regions of prefrontal cortex (PFC) in an oculomotor-delayed-response task, where an intervening cue indicated the reward available for a correct saccade. WM representations were strongest in ventrolateral PFC neurons with higher intrinsic temporal stability (time-constant). At the population-level, although a stable mnemonic state was reached during the delay, this tuning geometry was reversed relative to cue-period selectivity, and was disrupted by the reward cue. Single-neuron analysis revealed many neurons switched to coding reward, rather than maintaining task-relevant spatial selectivity until saccade. These results imply WM is fulfilled by dynamic, population-level activity within high time-constant neurons. Rather than persistent activity supporting stable mnemonic representations that bridge subsequent salient stimuli, PFC neurons may stabilise a dynamic population-level process supporting WM.","It is found that neurons flexibly switch their coding according to current attention while those with stable resting activity maintain WM representations through dynamic activity patterns, implying WM is fulfilled by dynamic, population-level activity within high time-constant neurons."
"Neural dynamics of reversal learning in the prefrontal cortex and recurrent neural networks","https://scispace.com/paper/neural-dynamics-of-reversal-learning-in-the-prefrontal-zsci1l2t3mdg","2025","Journal Article","","Christopher M. Kim
Carson C. Chow
Bruno B. Averbeck","10.7554/elife.103660.2","","Abstract In probabilistic reversal learning, the choice option yielding reward with higher probability switches at a random trial. To perform optimally in this task, one has to accumulate evidence across trials to infer the probability that a reversal has occurred. We investigated how this reversal probability is represented in cortical neurons by analyzing the neural activity in the prefrontal cortex of monkeys and recurrent neural networks trained on the task. We found that in a neural subspace encoding reversal probability, its activity represented integration of reward outcomes as in a line attractor model. The reversal probability activity at the start of a trial was stationary, stable and consistent with the attractor dynamics. However, during the trial, the activity was associated with task-related behavior and became non-stationary, thus deviating from the line attractor. Fitting a predictive model to neural data showed that the stationary state at the trial start serves as an initial condition for launching the non-stationary activity. This suggested an extension of the line attractor model with behavior-induced non-stationary dynamics. The non-stationary trajectories were separable indicating that they can represent distinct probabilistic values. Perturbing the reversal probability activity in the recurrent neural networks biased choice outcomes demonstrating its functional significance. In sum, our results show that cortical networks encode reversal probability in stable stationary state at the start of a trial and utilize it to initiate non-stationary dynamics that accommodates task-related behavior while maintaining the reversal information. ","This study investigates neural dynamics of reversal learning in prefrontal cortex and recurrent neural networks, finding that reversal probability is represented in a stable, stationary state that initiates non-stationary dynamics to accommodate task-related behavior."
"Inferring context-dependent computations through linear approximations of prefrontal cortex dynamics","https://scispace.com/paper/inferring-context-dependent-computations-through-linear-692xe6nof9nn","2024","Journal Article","Science Advances","Joana Soldado-Magraner
Valerio Mante
Maneesh Sahani","10.1126/sciadv.adl4743","","The complex neural activity of prefrontal cortex (PFC) is a hallmark of cognitive processes. How these rich dynamics emerge and support neural computations is largely unknown. Here, we infer mechanisms underlying the context-dependent integration of sensory inputs by fitting dynamical models to PFC population responses of behaving monkeys. A class of models implementing linear dynamics driven by external inputs accurately captured PFC responses within contexts and revealed equally performing mechanisms. One model implemented context-dependent recurrent dynamics and relied on transient input amplification; the other relied on subtle contextual modulations of the inputs, providing constraints on the attentional effects in sensory areas required to explain flexible PFC responses and behavior. Both models revealed properties of inputs and recurrent dynamics that were not apparent from qualitative descriptions of PFC responses. By revealing mechanisms that are quantitatively consistent with complex cortical dynamics, our modeling approach provides a principled and general framework to link neural population activity and computation. ","Researchers used dynamical models to infer mechanisms underlying context-dependent integration of sensory inputs in prefrontal cortex, revealing two models that accurately captured neural responses and provided insights into attentional effects and input processing."
"Prefrontal cortex exhibits multidimensional dynamic encoding during decision-making.","https://scispace.com/paper/prefrontal-cortex-exhibits-multidimensional-dynamic-encoding-1r4z4si14t","2020","Journal Article","Nature Neuroscience","Mikio C. Aoi
Mikio C. Aoi
Valerio Mante
Jonathan W. Pillow","10.1038/S41593-020-0696-5","https://scispace.com/pdf/prefrontal-cortex-exhibits-multidimensional-dynamic-encoding-1r4z4si14t.pdf","Recent work has suggested that the prefrontal cortex (PFC) plays a key role in context-dependent perceptual decision-making. In this study, we addressed that role using a new method for identifying task-relevant dimensions of neural population activity. Specifically, we show that the PFC has a multidimensional code for context, decisions and both relevant and irrelevant sensory information. Moreover, these representations evolve in time, with an early linear accumulation phase followed by a phase with rotational dynamics. We identify the dimensions of neural activity associated with these phases and show that they do not arise from distinct populations but from a single population with broad tuning characteristics. Finally, we use model-based decoding to show that the transition from linear to rotational dynamics coincides with a plateau in decoding accuracy, revealing that rotational dynamics in the PFC preserve sensory choice information for the duration of the stimulus integration period.","It is shown that the PFC has a multidimensional code for context, decisions and both relevant and irrelevant sensory information, which evolves in time, with an early linear accumulation phase followed by a phase with rotational dynamics."
"A Large-scale Neurocomputational Model of Task-oriented Behavior Selection and Working Memory in Prefrontal Cortex","https://scispace.com/paper/a-large-scale-neurocomputational-model-of-task-oriented-26iuy21l9sbs","","","","GL Chadderdon
O Sporns","10.1162/jocn.2006.18.2.242","","The prefrontal cortex (PFC) is crucially involved in the executive component of working memory, representation of task state, and behavior selection. This article presents a large-scale computational model of the PFC and associated brain regions designed to investigate the mechanisms by which working memory and task state interact to select adaptive behaviors from a behavioral repertoire. The model consists of multiple brain regions containing neuronal populations with realistic physiological and anatomical properties, including extrastriate visual cortical regions, the inferotemporal cortex, the PFC, the striatum, and midbrain dopamine (DA) neurons. The onset of a delayed match-to-sample or delayed nonmatch-to-sample task triggers tonic DA release in the PFC causing a switch into a persistent, stimulus-insensitive dynamic state that promotes the maintenance of stimulus representations within prefrontal networks. Other modeled prefrontal and striatal units select cognitive acceptance or rejection behaviors according to which task is active and whether prefrontal working memory representations match the current stimulus. Working memory task performance and memory fields of prefrontal delay units are degraded by extreme elevation or depletion of tonic DA levels. Analyses of cellular and synaptic activity suggest that hyponormal DA levels result in increased prefrontal activation, whereas hypernormal DA levels lead to decreased activation. Our simulation results suggest a range of predictions for behavioral, single-cell, and neuroimaging response data under the proposed task set and under manipulations of DA concentration.","This study presents a large-scale neurocomputational model of the prefrontal cortex, simulating task-oriented behavior selection and working memory, and predicts behavioral, cellular, and neuroimaging responses under varying dopamine levels and task conditions."
"Integrated neural dynamics for behavioural decisions and attentional competition in the prefrontal cortex","https://scispace.com/paper/integrated-neural-dynamics-for-behavioural-decisions-and-a6kveovz","2022","Journal Article","European Journal of Neuroscience","Yaara Erez
Mikiko Kadohisa
Philippe Petrov
Natasha Sigala
Mark J. Buckley
Makoto Kusunoki
John S. Duncan","10.1111/ejn.15757","","In the behaving monkey, complex neural dynamics in the prefrontal cortex contribute to context‐dependent decisions and attentional competition. We used demixed principal component analysis to track prefrontal activity dynamics in a cued target detection task. In this task, the animal combined identity of a visual object with a prior instruction cue to determine a target/nontarget decision. From population activity, we extracted principal components for each task feature and examined their time course and sensitivity to stimulus and task variations. For displays containing a single choice object in left or right hemifield, object identity, cue identity and decision were all encoded in population activity, with different dynamics and lateralisation. Object information peaked at 100–200 ms from display onset and was largely confined to the contralateral hemisphere. Cue information was weaker and present even prior to display onset. Integrating information from cue and object, decision information arose more slowly and was bilateral. Individual neurons contributed independently to coding of the three task features. The analysis was then extended to displays with a target in one hemifield and a competing distractor in the other. In this case, the data suggest that each hemisphere initially encoded the identity of the contralateral object. The distractor representation was then rapidly suppressed, with the final target decision again encoded bilaterally. The results show how information is coded along task‐related dimensions while competition is resolved and suggest how information flows within and across frontal lobes to implement a learned behavioural decision.","The results show how information is coded along task‐related dimensions while competition is resolved and suggest how information flows within and across frontal lobes to implement a learned behavioural decision."
"Dynamic Neuronal Representation in the Prefrontal Cortex","https://scispace.com/paper/dynamic-neuronal-representation-in-the-prefrontal-cortex-gu7ayurujm","2013","Book Chapter","","Hajime Mushiake
Keisetsu Shima
Kazuhiro Sakamoto
Yuichi Katori
Kazuyuki Aihara","10.1007/978-94-007-4792-0_2","https://www.springer.com/cda/content/document/cda_downloaddocument/9789400747913-c2.pdf?SGWID=0-0-45-1492240-p174510687","The present paper investigated the neural mechanisms underlying dynamic neural representation in the prefrontal cortex (PFC), which is thought to play a crucial role in flexible cognitive behavior. Neural representation is discrete or continuous according to the information to be encoded. The multistable attractor model is a plausible theory of flexible control of representation. Attractor states are dependent on functional connectivity in which neuronal subpopulations actively communicate with one another at any particular moment in time. We discussed new optogenetics tools to manipulate the state of local circuits to investigate dynamical neural function.","The present paper investigated the neural mechanisms underlying dynamic neural representation in the prefrontal cortex (PFC), which is thought to play a crucial role in flexible cognitive behavior."
"Neural dynamics of reversal learning in the prefrontal cortex and recurrent neural networks","https://scispace.com/paper/neural-dynamics-of-reversal-learning-in-the-prefrontal-cijvv86y2imy","2025","Journal Article","eLife","Christopher M. Kim
Carson C. Chow
Bruno B. Averbeck","10.7554/elife.103660.3","","In probabilistic reversal learning, the choice option yielding reward with higher probability switches at a random trial. To perform optimally in this task, one has to accumulate evidence across trials to infer the probability that a reversal has occurred. We investigated how this reversal probability is represented in cortical neurons by analyzing the neural activity in the prefrontal cortex of monkeys and recurrent neural networks trained on the task. We found that in a neural subspace encoding reversal probability, its activity represented integration of reward outcomes as in a line attractor model. The reversal probability activity at the start of a trial was stationary, stable, and consistent with the attractor dynamics. However, during the trial, the activity was associated with task-related behavior and became non-stationary, thus deviating from the line attractor. Fitting a predictive model to neural data showed that the stationary state at the trial start serves as an initial condition for launching the non-stationary activity. This suggested an extension of the line attractor model with behavior-induced non-stationary dynamics. The non-stationary trajectories were separable indicating that they can represent distinct probabilistic values. Perturbing the reversal probability activity in the recurrent neural networks biased choice outcomes demonstrating its functional significance. In sum, our results show that cortical networks encode reversal probability in stable stationary state at the start of a trial and utilize it to initiate non-stationary dynamics that accommodates task-related behavior while maintaining the reversal information. ","This study investigates neural dynamics of reversal learning in prefrontal cortex and recurrent neural networks, finding that cortical networks encode reversal probability in a stable, stationary state that initiates non-stationary dynamics to accommodate task-related behavior."
"Ramping dynamics and theta oscillations reflect dissociable signatures during rule-guided human behavior","https://scispace.com/paper/ramping-dynamics-and-theta-oscillations-reflect-dissociable-3lkasq5pgq","2024","Journal Article","Nature Communications","Jan Weber
Anne-Kristin Solbakk
Alejandro Blenkmann
Anaïs Llorens
Ingrid Funderud
Sabine Leske
Pål Gunnar Larsson
Jugoslav Ivanovic
R. T. Knight
Tor Endestad
Randolph F. Helfrich","10.1038/s41467-023-44571-7","","Abstract Contextual cues and prior evidence guide human goal-directed behavior. The neurophysiological mechanisms that implement contextual priors to guide subsequent actions in the human brain remain unclear. Using intracranial electroencephalography (iEEG), we demonstrate that increasing uncertainty introduces a shift from a purely oscillatory to a mixed processing regime with an additional ramping component. Oscillatory and ramping dynamics reflect dissociable signatures, which likely differentially contribute to the encoding and transfer of different cognitive variables in a cue-guided motor task. The results support the idea that prefrontal activity encodes rules and ensuing actions in distinct coding subspaces, while theta oscillations synchronize the prefrontal-motor network, possibly to guide action execution. Collectively, our results reveal how two key features of large-scale neural population activity, namely continuous ramping dynamics and oscillatory synchrony, jointly support rule-guided human behavior. ","The results support the idea that prefrontal activity encodes rules and ensuing actions in distinct coding subspaces, while theta oscillations synchronize the prefrontal-motor network, possibly to guide action execution."
"On the neural basis of rule-guided behavior.","https://scispace.com/paper/on-the-neural-basis-of-rule-guided-behavior-4zpgdicyd0","2012","Journal Article","Journal of Integrative Neuroscience","David C. Noelle","10.1142/S021963521250029X","","Human behavior emerges from a complex dynamic interaction between graded and context-sensitive neural processes, the biomechanics of our bodies, and the vicissitudes of our environments. These coupled processes bear little resemblance to the iterated application of simple symbolic rules. Still, there are circumstances under which our behavior appears to be guided by explicit mental rules. A prototypical case is when succinct verbal instructions are communicated and are promptly followed by another. How does the brain support such rule-guided behavior? How are explicit rules represented in the brain? How are rule representations shaped by experience? What neural processes form the foundation of our ability to systematically represent and apply rules from the vast range of possible rules? This article reviews a line of research that has sought a computational cognitive neuroscience account of rule-guided behavior in terms of the functioning of the prefrontal cortex, the basal ganglia, and related brain systems.","A line of research that has sought a computational cognitive neuroscience account of rule-guided behavior in terms of the functioning of the prefrontal cortex, the basal ganglia, and related brain systems is reviewed."
"Stable and dynamic coding for working memory in primate prefrontal cortex","https://scispace.com/paper/stable-and-dynamic-coding-for-working-memory-in-primate-e0pc0tapba","2017","Journal Article","The Journal of Neuroscience","Eelke Spaak
Kei Watanabe
Shintaro Funahashi
Mark G. Stokes","10.1523/JNEUROSCI.3364-16.2017","https://www.jneurosci.org/content/jneuro/37/27/6503.full.pdf","Working memory (WM) provides the stability necessary for high-level cognition. Influential theories typically assume that WM depends on the persistence of stable neural representations, yet increasing evidence suggests that neural states are highly dynamic. Here we apply multivariate pattern analysis to explore the population dynamics in primate lateral prefrontal cortex (PFC) during three variants of the classic memory-guided saccade task (recorded in four animals). We observed the hallmark of dynamic population coding across key phases of a working memory task: sensory processing, memory encoding, and response execution. Throughout both these dynamic epochs and the memory delay period, however, the neural representational geometry remained stable. We identified two characteristics that jointly explain these dynamics: (1) time-varying changes in the subpopulation of neurons coding for task variables (i.e., dynamic subpopulations); and (2) time-varying selectivity within neurons (i.e., dynamic selectivity). These results indicate that even in a very simple memory-guided saccade task, PFC neurons display complex dynamics to support stable representations for WM.SIGNIFICANCE STATEMENT Flexible, intelligent behavior requires the maintenance and manipulation of incoming information over various time spans. For short time spans, this faculty is labeled ""working memory"" (WM). Dominant models propose that WM is maintained by stable, persistent patterns of neural activity in prefrontal cortex (PFC). However, recent evidence suggests that neural activity in PFC is dynamic, even while the contents of WM remain stably represented. Here, we explored the neural dynamics in PFC during a memory-guided saccade task. We found evidence for dynamic population coding in various task epochs, despite striking stability in the neural representational geometry of WM. Furthermore, we identified two distinct cellular mechanisms that contribute to dynamic population coding.","Results indicate that even in a very simple memory-guided saccade task, PFC neurons display complex dynamics to support stable representations for WM, despite striking stability in the neural representational geometry of WM."
"Reconciling persistent and dynamic hypotheses of working memory coding in prefrontal cortex","https://scispace.com/paper/reconciling-persistent-and-dynamic-hypotheses-of-working-52dt3jzzhj","2017","Posted Content","bioRxiv","Sean E Cavanagh
John P. Towers
Joni D. Wallis
Joni D. Wallis
Laurence T. Hunt
Laurence T. Hunt
Steven W. Kennerley
Steven W. Kennerley
Steven W. Kennerley","10.1101/231506","https://scispace.com/pdf/reconciling-persistent-and-dynamic-hypotheses-of-working-52dt3jzzhj.pdf","Competing accounts propose that working memory (WM) is subserved either by persistent activity in single neurons or by dynamic (time-varying) activity across a neural population. Here we compare these hypotheses across four regions of prefrontal cortex (PFC) in a spatial WM task, where an intervening distractor indicated the reward available for a correct saccade. WM representations were strongest in ventrolateral PFC (VLPFC) neurons with higher intrinsic temporal stability (time-constant). At the population-level, although a stable mnemonic state was reached during the delay, this tuning geometry was reversed relative to cue-period selectivity, and was disrupted by the distractor. Single-neuron analysis revealed many neurons switched to coding reward, rather than maintaining task-relevant spatial selectivity until saccade. These results imply WM is fulfilled by dynamic, population-level activity within high time-constant neurons. Rather than persistent activity supporting stable mnemonic representations that bridge distraction, PFC neurons may stabilise a dynamic population-level process that supports WM.","Rather than persistent activity supporting stable mnemonic representations that bridge distraction, PFC neurons may stabilise a dynamic population-level process that supports WM."
"Context-dependent computation by recurrent dynamics in prefrontal cortex","https://scispace.com/paper/context-dependent-computation-by-recurrent-dynamics-in-3cmsvuiuye","2013","Journal Article","Nature","Valerio Mante
David Sussillo
Krishna V. Shenoy
William T. Newsome","10.1038/NATURE12742","https://hearingbrain.org/docs/Mante_Newsome_2013.pdf","Prefrontal cortex is thought to have a fundamental role in flexible, context-dependent behaviour, but the exact nature of the computations underlying this role remains largely unknown. In particular, individual prefrontal neurons often generate remarkably complex responses that defy deep understanding of their contribution to behaviour. Here we study prefrontal cortex activity in macaque monkeys trained to flexibly select and integrate noisy sensory inputs towards a choice. We find that the observed complexity and functional roles of single neurons are readily understood in the framework of a dynamical process unfolding at the level of the population. The population dynamics can be reproduced by a trained recurrent neural network, which suggests a previously unknown mechanism for selection and integration of task-relevant inputs. This mechanism indicates that selection and integration are two aspects of a single dynamical process unfolding within the same prefrontal circuits, and potentially provides a novel, general framework for understanding context-dependent computations.","This work studies prefrontal cortex activity in macaque monkeys trained to flexibly select and integrate noisy sensory inputs towards a choice, and finds that the observed complexity and functional roles of single neurons are readily understood in the framework of a dynamical process unfolding at the level of the population."
"Human stereoEEG recordings reveal network dynamics of decision-making in a rule-switching task.","https://scispace.com/paper/human-stereoeeg-recordings-reveal-network-dynamics-of-1qh5afad5e","2020","Journal Article","Nature Communications","Marije ter Wal
Marije ter Wal
Artem Platonov
Pasquale Cardellicchio
Veronica Pelliccia
Giorgio LoRusso
Ivana Sartori
Pietro Avanzini
Guy Orban
Paul H. E. Tiesinga","10.1038/S41467-020-16854-W","https://scispace.com/pdf/human-stereoeeg-recordings-reveal-network-dynamics-of-1qh5afad5e.pdf","The processing steps that lead up to a decision, i.e., the transformation of sensory evidence into motor output, are not fully understood. Here, we combine stereoEEG recordings from the human cortex, with single-lead and time-resolved decoding, using a wide range of temporal frequencies, to characterize decision processing during a rule-switching task. Our data reveal the contribution of rostral inferior parietal lobule (IPL) regions, in particular PFt, and the parietal opercular regions in decision processing and demonstrate that the network representing the decision is common to both task rules. We reconstruct the sequence in which regions engage in decision processing on single trials, thereby providing a detailed picture of the network dynamics involved in decision-making. The reconstructed timeline suggests that the supramarginal gyrus in IPL links decision regions in prefrontal cortex with premotor regions, where the motor plan for the response is elaborated. How sensory evidence is transformed into motor output is not fully understood. Here, the authors use stereoEEG recordings during a rule-switching task to reveal network dynamics of decision-making.","StereoEEG recordings from the human cortex are combined with single-lead and time-resolved decoding, using a wide range of temporal frequencies, to characterize decision processing during a rule-switching task and reveal network dynamics of decision-making."
"Prefrontal control of actions in freely moving macaques","https://scispace.com/paper/prefrontal-control-of-actions-in-freely-moving-macaques-2oq2j292","2022","Posted Content","bioRxiv","Benjamin Voloh
David J.-N. Maisson
Roberto Lopez Cervera
Indirah Conover
Mrunal Zambre
Benjamin Y. Hayden
J. Zimmermann","10.1101/2022.10.26.513892","https://scispace.com/pdf/prefrontal-control-of-actions-in-freely-moving-macaques-2oq2j292.pdf","Our natural behavioral repertoires include complex coordinated actions of characteristic types. To better understand the organization of action and its neural underpinnings, we examined behavior and neural activity in rhesus macaques performing a freely moving foraging task in an open environment. We developed a novel analysis pipeline that can identify meaningful units of behavior, corresponding to recognizable actions such as sitting, walking, jumping, and climbing. On the basis of action transition probabilities, we found that behavior was organized in a modular and hierarchical fashion. We found that, after regressing out many potential confounders, actions are associated with specific patterns of firing in each of six prefrontal brain regions and that, overall, representation of actions is progressively stronger in more dorsal and more caudal prefrontal regions. Conversely, we found that switching between actions resulted in changed firing rates, with more rostral and more ventral regions showing stronger effects. Together, these results establish a link between control of action state and neuronal activity in prefrontal regions in the primate brain.","In this paper , the authors examined behavior and neural activity in rhesus macaques performing a freely moving foraging task in an open environment and found that actions are associated with specific patterns of firing in each of six prefrontal brain regions and that representation of actions is progressively stronger in more dorsal and more caudal prefrontal regions."
"Recurrent dynamics of prefrontal cortex during context-dependent decision-making","https://scispace.com/paper/recurrent-dynamics-of-prefrontal-cortex-during-context-s7anujo8zf","2020","Posted Content","bioRxiv","Cohen Z
Brian DePasquale
Mikio C. Aoi
Jonathan W. Pillow","10.1101/2020.11.27.401539","https://scispace.com/pdf/recurrent-dynamics-of-prefrontal-cortex-during-context-s7anujo8zf.pdf","A key problem in systems neuroscience is to understand how neural populations integrate relevant sensory inputs during decision-making. Here, we address this problem by training a structured recurrent neural network to reproduce both psychophysical behavior and neural responses recorded from monkey prefrontal cortex during a context-dependent per-ceptual decision-making task. Our approach yields a one-to-one mapping of model neurons to recorded neurons, and explicitly incorporates sensory noise governing the animal’s performance as a function of stimulus strength. We then analyze the dynamics of the resulting model in order to understand how the network computes context-dependent decisions. We find that network dynamics preserve both relevant and irrelevant stimulus information, and exhibit a grid of fixed points for different stimulus conditions as opposed to a one-dimensional line attractor. Our work provides new insights into context-dependent decision-making and offers a powerful framework for linking cognitive function with neural activity within an artificial model.","This work trains a structured recurrent neural network to reproduce both psychophysical behavior and neural responses recorded from monkey prefrontal cortex during a context-dependent per-ceptual decision-making task, and yields a one-to-one mapping of model neurons to recorded neurons that explicitly incorporates sensory noise governing the animal’s performance as a function of stimulus strength."
"Prefrontal neuronal dynamics in the absence of task execution","https://scispace.com/paper/prefrontal-neuronal-dynamics-in-the-absence-of-task-5g3z3vfxgw0s","2024","Journal Article","Nature Communications","Shusen Pu
Wenhao Dang
Xue-Lian Qi
Christos Constantinidis","10.1038/s41467-024-50717-y","https://scispace.compdf/prefrontal-neuronal-dynamics-in-the-absence-of-task-5g3z3vfxgw0s.pdf","Prefrontal cortical activity represents stimuli in working memory tasks in a low-dimensional manifold that transforms over the course of a trial. Such transformations reflect specific cognitive operations, so that, for example, the rotation of stimulus representations is thought to reduce interference by distractor stimuli. Here we show that rotations occur in the low-dimensional activity space of prefrontal neurons in naïve male monkeys (Macaca mulatta), while passively viewing familiar stimuli. Moreover, some aspects of these rotations remain remarkably unchanged after training to perform working memory tasks. Significant training effects are still present in population dynamics, which further distinguish correct and error trials during task execution. Our results reveal automatic functions of prefrontal neural circuits allow transformations that may aid cognitive flexibility. How the acquisition of a cognitive task may alter stimulus representation geometry is not fully understood. Here, the authors show that transformations are present even prior to task training, performed automatically by prefrontal circuits. ","This study reveals that prefrontal neural circuits in monkeys automatically transform stimulus representations in a low-dimensional manifold, even in the absence of task execution, and that these transformations remain relatively stable after training for working memory tasks."
"Value-based decision-making of actions and tasks in human prefrontal cortex","https://scispace.com/paper/value-based-decision-making-of-actions-and-tasks-in-human-3itccjsw60","2012","Dissertation","","Sven Collette","","","Switching between tasks in cue-based decision-making has been studied intensively, e. G. Putting on hold one task while performing another one, with a fixed reward. Here, the frontopolar cortex (FPC) is engaged when subjects are required to keep in mind a main goal while performing parallel subgoals, and the anterior cingulate cortex (ACC) associates actions to outcomes. During my thesis, I investigated switching on different levels of action abstraction in value-based decision-making: choosing freely on the one hand between two simple actions, and on the other hand between two abstract structures, i. E. Competing tasks. FMRI BOLD signals were recorded on healthy subjects during a probabilistic reversal-learning para-digm, with anti-correlated stochastic reward probabilities. I compared basic reinforcement learning and a bayesian approach to infer the subject’s internal option values, which I regressed against the BOLD response. The findings reveal that the ventromedial PFC and striatum are engaged on the level of actions, and in contrast FPC, ACC and dorsolateral PFC on a task level. FPC monitors the evidence in favor of the alternative task only, and ACC activity manifests a task effect, predicting the switching behavior between tasks, but not actions. Furthermore, I provide evidence for a specific engagement of the prefrontal cortex network in value-based decision-making of abstract behavioral structures through connectivity analyses.","The findings reveal that the ventromedial PFC and striatum are engaged on the level of actions, and in contrast FPC, ACC and dorsolateral PFC on a task level, and provide evidence for a specific engagement of the prefrontal cortex network in value-based decision-making of abstract behavioral structures through connectivity analyses."
"Initial neural representation of individual rules after first-time instruction","https://scispace.com/paper/initial-neural-representation-of-individual-rules-after-1grldf724i","2019","Posted Content","bioRxiv","Hannes Ruge
Theo A. J. Schäfer
Katharina Zwosta
Holger Mohr
Uta Wolfensteller","10.1101/598276","https://biorxiv.org/content/biorxiv/early/2019/04/05/598276.full-text.pdf","By following explicit instructions humans can instantaneously get the hang of tasks they have never performed before. Here, we used a specially calibrated multivariate analysis technique to uncover the elusive representational states following newly instructed arbitrary behavioural rules such as ‘for coffee, press red button’, while transitioning from ‘knowing what to do’ to ‘actually doing it’. Subtle variation in distributed neural activity patterns reflected rule-specific representations within the ventrolateral prefrontal cortex (VLPFC), confined to instructed stimulus-response learning in contrast to incidental learning involving the same stimuli and responses. VLPFC representations were established right after first-time instruction and remained stable across early implementation trials. More and more fluent application of novel rule representations was channelled through increasing cooperation between VLPFC and anterior striatum. These findings inform representational theories on how the prefrontal cortex supports behavioural flexibility by enabling ad-hoc coding of novel task rules without recourse to familiar sub-routines","A specially calibrated multivariate analysis technique was used to uncover the elusive representational states following newly instructed arbitrary behavioural rules, informing representational theories on how the prefrontal cortex supports behavioural flexibility by enabling ad-hoc coding of novel task rules without recourse to familiar sub-routines."
"Modeling and Inference Methods for Switching Regime-Dependent Dynamical Systems with Multiscale Neural Observations","https://scispace.com/paper/modeling-and-inference-methods-for-switching-regime-wxkrhvlc","2022","Posted Content","","Maryam M. Shanechi","10.1101/2022.06.09.494416","","Abstract Realizing neurotechnologies that enable long-term neural recordings across multiple spatial-temporal scales during naturalistic behaviors requires new modeling and inference methods that can simultaneously address two challenges. First, the methods should aggregate information across all activity scales from multiple recording sources such as spiking and field potentials. Second, the methods should detect changes in the regimes of behavior and/or neural dynamics during naturalistic scenarios and long-term recordings. Prior regime detection methods are developed for a single scale of activity rather than multiscale activity, and prior multiscale methods have not considered regime switching and are for stationary cases. Here, we address both challenges by developing a Switching Multiscale Dynamical System model and the associated filtering and smoothing methods. This model describes the encoding of an unobserved brain state in multiscale spike-field activity. It also allows for regime-switching dynamics using an unobserved regime state that dictates the dynamical and encoding parameters at every time-step. We also design the associated switching multiscale inference methods that estimate both the unobserved regime and brain states from simultaneous spike-field activity. We validate the methods in both extensive numerical simulations and prefrontal spike-field data recorded in a monkey performing saccades for fluid rewards. We show that these methods can successfully combine the spiking and field potential observations to simultaneously track the regime and brain states accurately. Doing so, these methods lead to better state estimation compared with single-scale switching methods or stationary multiscale methods. These modeling and inference methods effectively incorporate both regime-detection and multiscale observations. As such, they could facilitate investigation of latent switching neural population dynamics and improve future brain-machine interfaces by enabling inference in naturalistic scenarios where regime-dependent multiscale activity and behavior arise. ","In this article , a switching multiscale dynamical system model and associated filtering and smoothing methods are proposed to estimate both the unobserved regime and brain states from simultaneous spike-field activity."
"Prefrontal cortex exhibits multi-dimensional dynamic encoding during decision-making","https://scispace.com/paper/prefrontal-cortex-exhibits-multi-dimensional-dynamic-3p5sy0ybz0","2019","Posted Content","bioRxiv","Mikio C. Aoi
Valerio Mante
Jonathan W. Pillow","10.1101/808584","https://scispace.com/pdf/prefrontal-cortex-exhibits-multi-dimensional-dynamic-3p5sy0ybz0.pdf","Recent work has suggested that prefrontal cortex (PFC) plays a key role in context-dependent perceptual decision-making. Here we investigate population-level coding of decision variables in monkey PFC using a new method for identifying task-relevant dimensions of neural activity. Our analyses reveal that, in contrast to one-dimensional attractor models, PFC has a multi-dimensional code for decisions, context, and relevant as well as irrelevant sensory information. Moreover, these representations evolve in time, with an early linear accumulation phase followed by a phase with rotational dynamics. We identify the dimensions of neural activity associated with these phases, and show that they are not the product of distinct populations, but of a single population with broad tuning characteristics. Finally, we use model-based decoding to show that the transition from linear to rotational dynamics coincides with a sustained plateau in decoding accuracy, revealing that rotational dynamics in PFC preserve sensory as well as choice information for the duration of the stimulus integration period.","This work investigates population-level coding of decision variables in monkey PFC using a new method for identifying task-relevant dimensions of neural activity, and reveals that PFC has a multi-dimensional code for decisions, context, and relevant as well as irrelevant sensory information."
